PROVINCE_NAME,DISTRICT_NAME,LOCATION_ID
Western,Gampaha,31148
Western,Gampaha,31149
Western,Gampaha,31150
Western,Gampaha,31151
Western,Gampaha,31152
Western,Gampaha,31156
Western,Gampaha,31157
Western,Gampaha,31161
Western,Gampaha,31166
Western,Gampaha,31172
Uva,Badulla,31274
Uva,Badulla,31281
Eastern,Ampara,31369
Western,Gampaha,31398
Western,Gampaha,31401
Western,Gampaha,31407
Western,Gampaha,31408
Western,Gampaha,31409
Western,Gampaha,31410
Western,Gampaha,31413
Western,Gampaha,31419
Western,Gampaha,31427
Sabaragamuwa,Kegalle,31457
Central,Nuwara Eliya,31466
Western,Gampaha,31651
Western,Gampaha,31652
Western,Gampaha,31656
Western,Gampaha,31660
Western,Gampaha,31663
Western,Gampaha,31666
Western,Gampaha,31675
Central,Nuwara Eliya,31738
Central,Nuwara Eliya,31754
Uva,Badulla,31782
Western,Gampaha,31903
Western,Gampaha,31904
Western,Gampaha,31905
Western,Gampaha,31906
Western,Gampaha,31908
Western,Gampaha,31912
Western,Gampaha,31921
Western,Gampaha,31928
Sabaragamuwa,Kegalle,31949
Uva,Badulla,32028
Uva,Badulla,32032
Uva,Badulla,32045
Western,Gampaha,32150
Western,Gampaha,32155
Western,Gampaha,32157
Western,Gampaha,32161
Western,Gampaha,32162
Western,Gampaha,32167
Western,Gampaha,32169
Western,Gampaha,32175
Western,Gampaha,32182
Sabaragamuwa,Kegalle,32185
Sabaragamuwa,Kegalle,32195
Central,Nuwara Eliya,32235
Western,Gampaha,32404
Western,Gampaha,32405
Western,Gampaha,32410
Western,Gampaha,32411
Western,Gampaha,32415
Sabaragamuwa,Kegalle,32449
Central,Nuwara Eliya,32490
Uva,Moneragala,32558
Eastern,Ampara,32622
Western,Gampaha,32656
Western,Gampaha,32658
Western,Gampaha,32660
Western,Gampaha,32662
Western,Gampaha,32668
Western,Gampaha,32682
Sabaragamuwa,Kegalle,32697
Sabaragamuwa,Kegalle,32712
Central,Kandy,32729
Central,Nuwara Eliya,32739
Central,Nuwara Eliya,32742
Central,Nuwara Eliya,32744
Uva,Badulla,32802
Uva,Moneragala,32834
Western,Gampaha,32905
Western,Gampaha,32907
Western,Gampaha,32912
Western,Gampaha,32916
Western,Gampaha,32922
Western,Gampaha,32924
Western,Gampaha,32926
Western,Gampaha,32929
Central,Kandy,32977
Central,Kandy,32978
Western,Gampaha,33154
Western,Gampaha,33158
Western,Gampaha,33160
Western,Gampaha,33165
Western,Gampaha,33170
Western,Gampaha,33186
Uva,Badulla,33286
Western,Gampaha,33405
Western,Gampaha,33409
Western,Gampaha,33412
Western,Gampaha,33418
Western,Gampaha,33420
Western,Gampaha,33424
Western,Gampaha,33435
Sabaragamuwa,Kegalle,33442
Central,Nuwara Eliya,33519
Uva,Moneragala,33594
Western,Gampaha,33656
Western,Gampaha,33659
Western,Gampaha,33662
Western,Gampaha,33664
Western,Gampaha,33666
Western,Gampaha,33669
Western,Gampaha,33673
Western,Gampaha,33675
Sabaragamuwa,Kegalle,33694
Central,Kandy,33724
Central,Nuwara Eliya,33742
Uva,Moneragala,33812
Western,Gampaha,33909
Western,Gampaha,33911
Western,Gampaha,33912
Western,Gampaha,33913
Western,Gampaha,33922
Western,Gampaha,33923
Western,Gampaha,33924
Western,Gampaha,33931
Western,Gampaha,33935
Central,Kandy,33986
Central,Nuwara Eliya,34013
Western,Gampaha,34160
Western,Gampaha,34161
Western,Gampaha,34162
Western,Gampaha,34163
Western,Gampaha,34167
Western,Gampaha,34190
Sabaragamuwa,Kegalle,34211
Uva,Moneragala,34303
Eastern,Ampara,34380
Western,Gampaha,34407
Western,Gampaha,34413
Western,Gampaha,34423
Western,Gampaha,34424
Western,Gampaha,34427
Western,Gampaha,34430
Western,Gampaha,34437
Western,Gampaha,34440
Central,Kandy,34486
Central,Kandy,34495
Central,Nuwara Eliya,34510
Central,Nuwara Eliya,34520
Central,Nuwara Eliya,34528
Uva,Moneragala,34563
Western,Gampaha,34662
Western,Gampaha,34667
Western,Gampaha,34668
Western,Gampaha,34670
Western,Gampaha,34672
Western,Gampaha,34673
Western,Gampaha,34676
Western,Gampaha,34679
Western,Gampaha,34682
Western,Gampaha,34695
Sabaragamuwa,Kegalle,34710
Sabaragamuwa,Kegalle,34714
Sabaragamuwa,Kegalle,34720
Eastern,Ampara,34882
Western,Gampaha,34913
Western,Gampaha,34914
Western,Gampaha,34915
Western,Gampaha,34924
Western,Gampaha,34925
Western,Gampaha,34934
Western,Gampaha,34939
Sabaragamuwa,Kegalle,34959
Central,Kandy,34990
